(75.0, (884.4269775390625, 534.1233520507812), (938.3185668945313, 587.6622314453125), (911.3727722167969, 560.8927917480469))
(75.0, (883.379296875, 535.107177734375), (936.3162231445312, 587.63916015625), (909.8477600097656, 561.3731689453125))
(75.0, (878.9138305664062, 533.9841064453125), (935.3012939453125, 589.6550659179687), (907.1075622558594, 561.8195861816406))
(75.0, (877.2917236328125, 540.0113159179688), (927.3414916992188, 589.5730224609375), (902.3166076660157, 564.7921691894531))
(76.0, (886.3234252929688, 539.8810668945313), (931.8113403320312, 585.2916015625), (909.0673828125, 562.5863342285156))
(76.0, (883, 536), (933, 586), (908.0, 561.0))
(76.0, (884.5337280273437, 534.1445556640625), (938.122314453125, 587.66611328125), (911.3280212402344, 560.9053344726562))
(76.0, (883.5069213867188, 535.1288208007812), (936.1532348632812, 587.68759765625), (909.830078125, 561.4082092285156))
(76.0, (879.130322265625, 534.0703979492188), (935.1913452148438, 589.6631958007813), (907.1608337402344, 561.8667968750001))
(76.0, (877.1863891601563, 540.012744140625), (927.3209106445313, 589.5905151367188), (902.2536499023438, 564.8016296386719))
(77.0, (887.0037231445312, 540.0004272460938), (932.0030395507813, 584.9972534179688), (909.5033813476563, 562.4988403320312))
(77.0, (883.0014526367188, 535.99990234375), (933.0027587890625, 585.996826171875), (908.0021057128906, 560.9983642578125))
(77.0, (883.9970092773438, 533.9996215820313), (938.0001220703125, 588.0007080078125), (910.9985656738281, 561.0001647949218))
(77.0, (882.998876953125, 535.0003784179687), (935.9986450195313, 588.001806640625), (909.4987609863281, 561.5010925292968))
(77.0, (879.0003051757812, 534.0000366210937), (934.99794921875, 590.00224609375), (906.9991271972656, 562.0011413574218))
(77.0, (876.9984497070312, 539.9987182617188), (926.996435546875, 590.0024658203125), (901.9974426269531, 565.0005920410156))
(78.0, (886.2873413085938, 539.8616455078125), (931.6972412109375, 585.3279663085938), (908.9922912597656, 562.5948059082032))
(78.0, (882.3074096679687, 535.8088134765625), (932.69599609375, 586.3394897460937), (907.5017028808593, 561.074151611328))
(78.0, (884.658935546875, 534.1739501953125), (938.305810546875, 587.6366577148438), (911.482373046875, 560.9053039550781))
(78.0, (883.704150390625, 535.1885375976562), (936.3050415039063, 587.6570678710938), (910.0045959472657, 561.422802734375))
(78.0, (879.3241577148438, 534.1037963867187), (935.3664306640625, 589.600830078125), (907.3452941894532, 561.8523132324219))
(78.0, (877.4560424804688, 540.0869995117188), (927.3894287109375, 589.53037109375), (902.4227355957032, 564.8086853027344))
(78.0, (873.0237060546875, 535.0317626953125), (932.4031982421875, 593.5449096679688), (902.7134521484375, 564.2883361816407))
(79.0, (886.3439331054688, 539.9007934570312), (931.6140869140625, 585.387158203125), (908.9790100097656, 562.643975830078))
(79.0, (882.4085693359375, 535.8758544921875), (932.6231567382813, 586.3832763671875), (907.5158630371094, 561.1295654296875))
(79.0, (884.5525024414062, 534.1285888671875), (938.3909545898438, 587.6248291015625), (911.471728515625, 560.876708984375))
(79.0, (883.5898803710937, 535.1311645507812), (936.3783935546875, 587.6050415039062), (909.9841369628906, 561.3681030273438))
(79.0, (879.1787475585937, 534.0425415039062), (935.3959594726563, 589.5740966796875), (907.287353515625, 561.8083190917969))
(79.0, (877.72109375, 540.0803344726562), (927.4064208984375, 589.529248046875), (902.5637573242188, 564.8047912597656))
(79.0, (872.9904541015625, 535.0), (932.374462890625, 593.4822631835938), (902.6824584960937, 564.2411315917968))
(80.0, (887.00126953125, 539.9989868164063), (931.9999755859375, 585.0), (909.5006225585937, 562.4994934082031))
(80.0, (883.0031616210938, 536.0013061523438), (932.9999389648438, 586.0), (908.0015502929688, 561.0006530761718))
(80.0, (883.9969604492187, 533.9989501953125), (938.0000366210937, 587.9999755859375), (910.9984985351562, 560.999462890625))
